tSNE1,tSNE2,group
-52.853825,35.694965,PubChem candidate
-92.902794,-35.614372,PubChem candidate
95.6879,21.966381,PubChem candidate
32.806168,5.3726907,PubChem candidate
2.1794367,81.506195,PubChem candidate
68.71746,-78.05932,PubChem candidate
-20.421059,90.15099,PubChem candidate
111.8144,-12.996286,PubChem candidate
-12.332035,43.492443,PubChem candidate
-27.136097,98.8748,PubChem candidate
-29.56696,-5.3709292,PubChem candidate
-34.070396,-97.2723,PubChem candidate
92.25403,-17.777533,PubChem candidate
9.880419,45.93937,PubChem candidate
86.96701,49.74845,PubChem candidate
-39.42979,-76.29793,PubChem candidate
-134.4808,-6.7302036,PubChem candidate
-51.76822,79.67895,PubChem candidate
-65.82231,-2.1484141,PubChem candidate
-60.594006,-45.874264,PubChem candidate
76.14767,7.704008,PubChem candidate
-15.314783,99.32342,PubChem candidate
-52.788254,-19.193943,PubChem candidate
-24.483286,-96.126396,PubChem candidate
-21.108812,-6.7254324,PubChem candidate
92.887054,34.40859,PubChem candidate
-101.5903,-53.96213,PubChem candidate
13.205487,-108.35821,PubChem candidate
15.008443,-51.318375,PubChem candidate
-19.650406,39.8324,PubChem candidate
-74.18813,-62.66819,PubChem candidate
107.98589,-38.803413,PubChem candidate
-23.96881,-82.567154,PubChem candidate
-52.077614,-29.84372,PubChem candidate
24.877842,37.275097,PubChem candidate
26.759615,-34.919067,PubChem candidate
-78.93476,-60.812386,PubChem candidate
-61.562584,-64.5937,PubChem candidate
-50.91687,68.01551,PubChem candidate
-49.75771,35.623646,PubChem candidate
-41.566635,20.388597,PubChem candidate
-33.1442,-73.98147,PubChem candidate
-108.56192,6.002706,PubChem candidate
17.758913,-5.9691644,PubChem candidate
-17.592005,-39.50283,PubChem candidate
-78.31918,0.9538793,PubChem candidate
-33.398964,100.43241,PubChem candidate
-24.777721,42.92794,PubChem candidate
15.475286,-2.5301664,PubChem candidate
0.34010696,17.675978,PubChem candidate
36.601738,43.364906,PubChem candidate
-43.705975,69.35957,PubChem candidate
-122.71386,1.0775776,PubChem candidate
39.171402,-90.76417,PubChem candidate
58.484734,-83.30529,PubChem candidate
-70.1002,12.648667,PubChem candidate
17.282413,-3.7716727,PubChem candidate
69.93109,39.28872,PubChem candidate
-110.67726,-32.344883,PubChem candidate
5.3805857,-3.4174056,PubChem candidate
-32.81565,-52.216286,PubChem candidate
-17.002523,3.6307178,PubChem candidate
-10.996629,-106.58201,PubChem candidate
80.8223,50.04329,PubChem candidate
35.41357,-31.792183,PubChem candidate
64.469,8.2899475,PubChem candidate
-94.5321,-29.539883,PubChem candidate
37.927933,-91.20254,PubChem candidate
11.26452,12.309129,PubChem candidate
-14.190813,118.16335,PubChem candidate
-4.097446,-108.47702,PubChem candidate
6.81366,24.061321,PubChem candidate
