record_index,lig_SMI,Sol_SMI,c_lig,c_HNO3,c_Metal_mM,D,logD
384,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,0.5,0.1,0.1,0.0016685315907842,-2.777665566310111
385,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.0,5.04237,0.00084,10.7499646264467,1.031407035175877
386,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,CCCCCCCCCCCC,1.0,4.0,0.01,2.93709671143136,0.4679182470163208
387,CCCCCCCCCCCC(=O)N(CC)CC,CC1=CC=CC=C1,0.3,2.0,,1.62225320561338,0.210118641008524
388,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.1,1.0,1287.55,1.63876951515445,0.2145178764897056
389,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.5,3.0,100.0,4.2133815551537,0.62463078972132
390,CCCCCCN(CCCCCC)C(=O)CCCCC,CC1=CC=CC=C1,0.5,3.5,50.0,2.65,0.4232458739368078
391,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.0,2.0,21.5968,0.875227209710708,-0.05787918913275993
392,CCCCCCCCCCCC(=O)N(CC)CC,CC1=CC=CC=C1,,2.0,,0.40225485171023,-0.3954987090480164
393,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.0,3.0,0.1,3.99563692813328,0.6015860182746656
394,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,C1=CC=CC=C1,0.1,2.0,,0.69,-0.1611509092627447
395,CCCCCCN(CCCCCC)C(=O)C(CC)CCCC,CC1=CC=CC=C1,0.5,0.5,50.0,1.67756113468546,0.2246783559484863
396,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.5,1.0,250.0,0.687160940325499,-0.162941534687887
397,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CC1=CC(=CC(=C1)C)C ,0.96,1.48599,,3.42298816400589,0.5344053974388362
398,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,CCCCCCCCCCCC,1.0,2.0,0.01,0.412930870702723,-0.3841226480657678
399,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,CCCC(C)CC(C)C ,0.98,0.01,0.74426,0.99,-0.004364805402450088
400,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,CCCC(C)CC(C)C ,0.0637623,0.01,50.0,0.515086505491048,-0.2881198278471295
401,CCCCCCN(CCCCCC)C(=O)C(CC)CCCC,CCCCCCCCCCCC,1.0,7.0764,0.00084,5.94889207793433,0.7744360902255635
